year month	day	rock	scissors	paper
1996 1 7 0 1 0
1996 1 14 1 0 0
1996 1 21 1 0 0
1996 1 28 0 0 1
1996 2 4 0 1 0
1996 2 11 0 0 1
1996 2 18 0 0 1
1996 2 25 1 0 0
1996 3 3 0 1 0
1996 3 10 0 1 0
1996 3 17 1 0 0
1996 3 24 0 0 1
1996 3 31 1 0 0
1996 4 7 0 1 0
1996 4 14 0 0 1
1996 4 21 0 0 1
1996 4 28 0 1 0
1996 5 5 1 0 0
1996 5 12 1 0 0
1996 5 19 0 1 0
1996 5 26 0 0 1
1996 6 2 0 1 0
1996 6 9 0 0 1
1996 6 16 1 0 0
1996 6 23 0 1 0
1996 6 30 1 0 0
1996 7 7 0 1 0
1996 7 14 0 1 0
1996 7 21 0 0 1
1996 7 28 1 0 0
1996 8 4 0 0 1
1996 8 11 0 0 1
1996 8 18 0 1 0
1996 8 25 0 1 0
1996 9 1 1 0 0
1996 9 8 0 0 1
1996 9 15 1 0 0
1996 9 22 1 0 0
1996 9 29 0 1 0
1996 10 13 0 0 1
1996 10 27 0 1 0
1996 11 3 1 0 0
1996 11 10 1 0 0
1996 11 17 0 0 1
1996 11 24 0 1 0
1996 12 1 0 0 1
1996 12 8 0 0 1
1996 12 15 1 0 0
1996 12 22 1 0 0
1996 12 29 0 1 0
1997 1 5 0 1 0
1997 1 12 1 0 0
1997 1 19 0 0 1
1997 1 26 0 1 0
1997 2 2 0 0 1
1997 2 9 1 0 0
1997 2 16 0 0 1
1997 2 23 0 1 0
1997 3 2 1 0 0
1997 3 9 0 1 0
1997 3 16 1 0 0
1997 3 23 0 0 1
1997 3 30 0 0 1
1997 4 6 0 1 0
1997 4 13 1 0 0
1997 4 20 0 1 0
1997 4 27 0 0 1
1997 5 4 0 0 1
1997 5 11 1 0 0
1997 5 18 0 1 0
1997 5 25 0 0 1
1997 6 1 0 1 0
1997 6 8 1 0 0
1997 6 15 1 0 0
1997 6 22 0 0 1
1997 6 29 0 1 0
1997 7 6 0 1 0
1997 7 13 1 0 0
1997 7 20 0 0 1
1997 8 3 1 0 0
1997 8 10 0 1 0
1997 8 17 1 0 0
1997 8 24 0 0 1
1997 8 31 0 0 1
1997 9 7 0 1 0
1997 9 14 1 0 0
1997 9 21 0 1 0
1997 9 28 0 0 1
1997 10 5 0 1 0
1997 10 12 0 1 0
1997 10 19 1 0 0
1997 10 26 0 0 1
1997 11 2 0 1 0
1997 11 9 1 0 0
1997 11 16 0 1 0
1997 11 23 0 0 1
1997 11 30 1 0 0
1997 12 7 1 0 0
1997 12 14 0 0 1
1997 12 21 0 1 0
1997 12 28 0 0 1
1998 1 4 0 1 0
1998 1 11 1 0 0
1998 1 18 0 0 1
1998 1 25 0 0 1
1998 2 1 1 0 0
1998 2 8 0 1 0
1998 2 15 0 1 0
1998 2 22 1 0 0
1998 3 1 0 0 1
1998 3 8 0 0 1
1998 3 15 0 1 0
1998 3 22 1 0 0
1998 3 29 0 0 1
1998 4 5 0 1 0
1998 4 12 0 1 0
1998 4 19 1 0 0
1998 4 26 0 0 1
1998 5 3 0 1 0
1998 5 10 0 0 1
1998 5 17 1 0 0
1998 5 24 1 0 0
1998 5 31 0 1 0
1998 6 7 0 0 1
1998 6 14 0 1 0
1998 6 21 1 0 0
1998 6 28 0 0 1
1998 7 5 0 1 0
1998 7 12 0 0 1
1998 7 19 0 1 0
1998 7 26 1 0 0
1998 8 2 1 0 0
1998 8 9 0 0 1
1998 8 16 0 1 0
1998 8 23 0 0 1
1998 8 30 1 0 0
1998 9 6 0 1 0
1998 9 13 0 0 1
1998 9 20 0 0 1
1998 9 27 0 1 0
1998 10 4 0 1 0
1998 10 11 1 0 0
1998 10 18 0 0 1
1998 10 25 0 1 0
1998 11 1 0 0 1
1998 11 8 1 0 0
1998 11 15 1 0 0
1998 11 22 0 1 0
1998 11 29 0 0 1
1998 12 6 0 1 0
1998 12 13 0 0 1
1998 12 20 1 0 0
1998 12 27 0 0 1
1999 1 10 0 1 0
1999 1 17 0 1 0
1999 1 24 1 0 0
1999 1 31 0 0 1
1999 2 7 1 0 0
1999 2 14 0 1 0
1999 2 21 0 0 1
1999 2 28 0 1 0
1999 3 7 1 0 0
1999 3 14 1 0 0
1999 3 21 0 0 1
1999 3 28 0 1 0
1999 4 4 1 0 0
1999 4 11 0 1 0
1999 4 18 1 0 0
1999 4 25 1 0 0
1999 5 2 0 0 1
1999 5 9 0 0 1
1999 5 16 0 1 0
1999 5 23 1 0 0
1999 5 30 0 0 1
1999 6 6 1 0 0
1999 6 13 0 1 0
1999 6 20 1 0 0
1999 6 27 0 0 1
1999 7 4 0 0 1
